Year,Date,Last Value,Q%,SOQ,Value
CY 2014,2014-10-07 00:00:00,,,,45.529999
CY 2014,2014-10-08 00:00:00,,,,46.779999
CY 2014,2014-10-09 00:00:00,,,,45.849998
CY 2014,2014-10-10 00:00:00,,,,44.029999
CY 2014,2014-10-13 00:00:00,,,,43.650002
CY 2014,2014-10-14 00:00:00,,,,43.73
CY 2014,2014-10-15 00:00:00,,,,43.220001
CY 2014,2014-10-16 00:00:00,,,,42.740002
CY 2014,2014-10-17 00:00:00,,,,43.630001
CY 2014,2014-10-20 00:00:00,,,,44.080002
CY 2014,2014-10-21 00:00:00,,,,44.880001
CY 2014,2014-10-22 00:00:00,,,,44.380001
CY 2014,2014-10-23 00:00:00,,,,45.02
CY 2014,2014-10-24 00:00:00,,,,46.130001
CY 2014,2014-10-27 00:00:00,,,,45.91
CY 2014,2014-10-28 00:00:00,,,,46.490002
CY 2014,2014-10-29 00:00:00,,,,46.619999
CY 2014,2014-10-30 00:00:00,,,,46.049999
CY 2014,2014-10-31 00:00:00,,,,46.950001
CY 2014,2014-11-03 00:00:00,,,,47.439999
CY 2014,2014-11-04 00:00:00,,,,47.57
CY 2014,2014-11-05 00:00:00,,,,47.860001
CY 2014,2014-11-06 00:00:00,,,,48.700001
CY 2014,2014-11-07 00:00:00,,,,48.68
CY 2014,2014-11-10 00:00:00,,,,48.889999
CY 2014,2014-11-11 00:00:00,,,,48.869999
CY 2014,2014-11-12 00:00:00,,,,48.779999
CY 2014,2014-11-13 00:00:00,,,,49.610001
CY 2014,2014-11-14 00:00:00,,,,49.580002
CY 2014,2014-11-17 00:00:00,,,,49.459999
CY 2014,2014-11-18 00:00:00,,,,48.740002
CY 2014,2014-11-19 00:00:00,,,,48.220001
CY 2014,2014-11-20 00:00:00,,,,48.700001
CY 2014,2014-11-21 00:00:00,,,,47.98
CY 2014,2014-11-24 00:00:00,,,,47.59
CY 2014,2014-11-25 00:00:00,,,,47.470001
CY 2014,2014-11-26 00:00:00,,,,47.75
CY 2014,2014-11-28 00:00:00,,,,47.810001
CY 2014,2014-12-01 00:00:00,,,,48.619999
CY 2014,2014-12-02 00:00:00,,,,48.459999
CY 2014,2014-12-03 00:00:00,,,,48.080002
CY 2014,2014-12-04 00:00:00,,,,48.84
CY 2014,2014-12-05 00:00:00,,,,48.419998
CY 2014,2014-12-08 00:00:00,,,,47.700001
CY 2014,2014-12-09 00:00:00,,,,47.59
CY 2014,2014-12-10 00:00:00,,,,46.900002
CY 2014,2014-12-11 00:00:00,,,,47.169998
CY 2014,2014-12-12 00:00:00,,,,46.950001
CY 2014,2014-12-15 00:00:00,,,,46.669998
CY 2014,2014-12-16 00:00:00,,,,45.16
CY 2014,2014-12-17 00:00:00,,,,45.740002
CY 2014,2014-12-18 00:00:00,,,,47.52
CY 2014,2014-12-19 00:00:00,,,,47.66
CY 2014,2014-12-22 00:00:00,,,,47.98
CY 2014,2014-12-23 00:00:00,,,,48.450001
CY 2014,2014-12-24 00:00:00,,,,48.139999
CY 2014,2014-12-26 00:00:00,,,,47.880001
CY 2014,2014-12-29 00:00:00,,,,47.450001
CY 2014,2014-12-30 00:00:00,,,,47.02
CY 2014,2014-12-31 00:00:00,46.450001,,,46.450001
