Date,Last Value
2014-08-28 00:00:00,44.880001
2014-08-29 00:00:00,45.43
2014-09-02 00:00:00,45.09
2014-09-03 00:00:00,44.959999
2014-09-04 00:00:00,45.259998
2014-09-05 00:00:00,45.91
2014-09-08 00:00:00,46.470001
2014-09-09 00:00:00,46.759998
2014-09-10 00:00:00,46.84
2014-09-11 00:00:00,47
2014-09-12 00:00:00,46.700001
2014-09-15 00:00:00,46.240002
2014-09-16 00:00:00,46.759998
2014-09-17 00:00:00,46.52
2014-09-18 00:00:00,46.68
2014-09-19 00:00:00,47.52
2014-09-22 00:00:00,47.060001
2014-09-23 00:00:00,46.560001
2014-09-24 00:00:00,47.080002
2014-09-25 00:00:00,46.040001
2014-09-26 00:00:00,46.41
2014-09-29 00:00:00,46.439999
2014-09-30 00:00:00,46.360001
2014-10-01 00:00:00,45.900002
2014-10-02 00:00:00,45.759998
2014-10-03 00:00:00,46.09
2014-10-06 00:00:00,46.09
2014-10-07 00:00:00,45.529999
2014-10-08 00:00:00,46.779999
2014-10-09 00:00:00,45.849998
2014-10-10 00:00:00,44.029999
2014-10-13 00:00:00,43.650002
2014-10-14 00:00:00,43.73
2014-10-15 00:00:00,43.220001
2014-10-16 00:00:00,42.740002
2014-10-17 00:00:00,43.630001
2014-10-20 00:00:00,44.080002
2014-10-21 00:00:00,44.880001
2014-10-22 00:00:00,44.380001
2014-10-23 00:00:00,45.02
2014-10-24 00:00:00,46.130001
2014-10-27 00:00:00,45.91
2014-10-28 00:00:00,46.490002
2014-10-29 00:00:00,46.619999
2014-10-30 00:00:00,46.049999
2014-10-31 00:00:00,46.950001
2014-11-03 00:00:00,47.439999
2014-11-04 00:00:00,47.57
2014-11-05 00:00:00,47.860001
2014-11-06 00:00:00,48.700001
2014-11-07 00:00:00,48.68
2014-11-10 00:00:00,48.889999
2014-11-11 00:00:00,48.869999
2014-11-12 00:00:00,48.779999
2014-11-13 00:00:00,49.610001
2014-11-14 00:00:00,49.580002
2014-11-17 00:00:00,49.459999
2014-11-18 00:00:00,48.740002
2014-11-19 00:00:00,48.220001
2014-11-20 00:00:00,48.700001
2014-11-21 00:00:00,47.98
2014-11-24 00:00:00,47.59
2014-11-25 00:00:00,47.470001
